"Title","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Ratatouille","cinephile-27690","9 November 2018","That's what the food critic, Anton Ego, says in his review of the movie's restaurant at the end of the movie. That is a good way to sum up Ratatouille.This movie released a few days after my 9th birthday. My Grandma got the DVD and I loved it. I was a kid and animated movies were my jam! I even taped a Disney Channel showing on a record-able VHS. I have seen this numerous times, and I still love it. I just saw it again as a 20 year old and it still puts me in awe.The movie is about Remy, a rat who has an obsession with food, cooking, and the humans who cook food. He meets a chef who can't cook very well, and he uses his talent to secretly help him. But that causes issues with a secret rat in a failing restaurant.I can't think of a single flaw with this movie.The animation is beautiful(I noticed one car that almost looked real at one point)and the story is well told.I know when I love a movie when I feel this thrill in my heart and an excitement along with it.(See my review of Lord of the Rings: The Return of the King) I felt that all throughout this movie, even though I have seen this movie numerous times.This is an animated movie where you don't need to be a kid to enjoy it. (Roger Ebert said this as well.) Anton Ego also says that he will return to the restaurant ""hungry for more."" Revisiting this as an adult makes me say the same thing about the movie he is in.Edit: Nearly 11 months later, 7/7 people found the review helpful. I appreciate the positive feedback from everyone! If you enjoyed this review, please click on cinephile-27690 and click ""reviews"" on the right for more reviews! Movies are my passion, so let me share it with you!","
            10/10
            "
"Ratatouille","planktonrules","9 July 2007","This film is exactly what Pixar needed to steal the thunder from Dreamworks' latest release, SHREK III. In many ways, this is very ironic, as one of Pixar's best films, MONSTERS INC., was overwhelmed when it was released due to the first SHREK's success. I honestly think if SHREK hadn't been such a wonderful movie, people would have noticed that MONSTERS INC. was an exceptional film. Now, Pixar gets some payback with one of their best, RATATOUILLE.Actually, RATATOUILLE is probably Pixar's best film, though I did enjoy TOY STORY II and THE INCREDIBLES. The reason I was so overwhelmed by this story was that it was so highly original and creative--I simply cannot compare the plot to any other film (something you can do with THE INCREDIBLES and TOY STORY II). Plus, after years of making CG movies, the look is taken to a whole new level in this film--it just looks breathtaking.Now I need to point out that RATATOUILLE is not as much a kid's movie as its predecessors. Sure, it can be enjoyed by the kids, but the story line is a tad darker and covers an adult concept (illegitimate birth) and includes a swear word (though not one the really ""bad"" ones, you can be sure). Also, while the rats are kind of cute (and a marketer's dream), most of the rest of the story isn't and there are no catchy kid's tunes. No, instead this film is aimed more at teens and adults in its sensibilities--something that really helped make SHREK a financial gold mine and cursed MONSTERS INC. to be seen (incorrectly) as ""just a kid's movie"".Amazing animation, excellent writing and, the rarest of rare, a completely original and captivating plot make this a winner and film that will be long remembered. I can't wait to see it again.","
            10/10
            "
"Ratatouille","Hitchcoc","4 May 2019","The absolutely absurd premise of a rat becoming a great French chef is brought to fruition by Pixar. It starts by being amazingly colorful and capturing the world of food. Secondly, it is downright funny but does not insult the intelligence of the viewers. Food becomes the background for everything and as the tiny rodent gains popularity, we are pulling for him. This is such an intelligent film and it works at every level.","
            10/10
            "
"Ratatouille","Xstal","18 October 2020","Taking great ingredients including but not limited to, an endearing story with meaning and a message, superb and breathtaking animation, brilliantly voiced narration and as cute a rattus rattus you're ever likely to encounter. Combined, refined, formed and baked to perfection, the result, a jaw dropping piece of film that you can perpetually admire, enjoy and savour.","
            9/10
            "
"Ratatouille","PoisonKeyblade","17 June 2007","The combination of Disney and Pixar never ceases to amaze, but with Ratatouille, their newest effort, animated features are brought to new heights with the best one to date. Ratatouille is stunning, surreal while at the same time realistic, and a joy to watch. The writing is, in one word, just amazing, and the voice acting is sensational. The characters are poetic and real, and the rats are some of Disney/Pixar's cutest creations. Ratatouille is written and directed by Brad Bird (The Incredibles), and features stellar voice acting from Peter O'Toole, Patton Oswalt, Ian Holm, Brian Dennehy, Lou Romano, Brad Garrett, and Janeane Garofalo.Remy (voiced by Patton Oswalt) is a little rat who dreams of becoming a chef just like his idol, the human Gusteau (voiced by Brad Garrett). After a mishap, Remy loses his family in the sewers and comes upon a fading restaurant that had previously been owned by Gusteau before his untimely death. He comes upon a lowly garbage boy, Linguini (voiced by Lou Romano), and together they set out to revive the once-legendary restaurant.Ratatouille is filled with loads of surprises and lots of twists and turns. The animation is even more stunning here than in some of the other Disney/Pixar productions, and the breathtaking landscape of Paris, France, really adds a layer of realism to the film. The food looks so real and delicious, and the humans and rats look incredibly realistic. Remy and Linguini are both lovable characters, and the audience is rooting for them the entire way. Surprisingly enough, this movie is the funniest of the Disney/Pixar films, with very subtle and unique humor.As previously stated, the voice acting really makes the film different, and each actor is perfectly suited to his or her role. The best among the bunch happens to be Lou Romano, as he deals with his character extremely well and is incredibly believable. There are times when the acting and animation is so excellent that you forget you are watching an animated film altogether. Brad Garrett is actually tolerable for once, and is excellent in his role as Gusteau, who acts as Remy's conscience for the majority of the film. Some of the funniest scenes in the movie are rooted from Gusteau's chats with Remy and many others come from the relationship between Linguini and Remy. On another note, Patton Oswalt does a magnificent job voicing Remy, and Peter O' Toole is very memorable as Anton Ego, the food critic for 'The Grim Eater'.Overall, you can't ask for a better film than Ratatouille, a new classic from Disney/Pixar that is filled with humor, amazing animation, and, most importantly, lots of heart. Some of the scenes are so poetic and perfect that they just bring tears to your eyes. It may be hard to believe, but Ratatouille is far better than any other animated films you will see this year, or perhaps that you will ever see. It manages to be better than Toy Story, better than Finding Nemo, even better than the fantastic Meet the Robinsons. I saw a pre-screening of the film on Saturday, June 16, but I cannot wait to see it again once it hits theaters everywhere on June 29. See Ratatouilleit is highly original, heartwarming, uplifting, and a very thrilling movie that has to be the best animated feature of the last few decades.","
            10/10
            "
"Ratatouille","willden21","17 June 2007","I caught a sneak peak yesterday, and must say, this film is a classic. It is not as flashy as cars, or as action packed as Incredibles, but it is a masterpiece of restraint and heart, that matches the classics from the golden age of the film industry. Pixar has always been groundbreaking for smart and fun animated features, but Ratatouille might just be what puts them over the top as one of the BEST all around film-making teams in history.Ratatouille is a treat for film lovers. It feels like a classic. The animationis absolutely beautiful, especially the scenery of Paris which evoked awes from the audience, as if we were seeing a grandiose fireworks show.The story is oh so classy and universal, especially when you look at it as a parable to yourself and society. Sometimes the story seems familiar, yet it is packed with so much genuine heart and individuality, that it might even be too ""indie"" for most audiences. But those who are patient and willing to open their minds and hearts, even when it may challenge the viewers to rethink their own personal biases, will find within this entertaining, sweet, simple film a remarkable message about challenging societal norms and not letting anything stand in your way of your dreams. When you follow your dreams, you never know what an impact it will have upon you, or those you might encounter on the journey. Just see the film, and be open to its message, and I am sure if you allow it too, it will touch you as well.P.S. : The short in front of the feature is the funniest animated short film pixar has ever done, so even if ratatouille might not be as flashy as many might want it to be, the short film will have everyone in stitches, as it did our entire theater. So just go and see it, and be prepared for a wonderful two hours.","
            10/10
            "
"Ratatouille","Quinoa1984","29 June 2007","It's pretty easy to make little rodents charming and fun characters (just ask Disney himself, to a clichéd extent), but it's even harder to make them work in such a way that's original and exciting as comedy in conventional ways for today's audiences. But Brad Bird shouldn't be lumped into the group of today's CGI animators. He doesn't really think in those terms, but rather in how to make things look real, and yet at the same time keeping in full mind that it's a cartoon, not reality. This goes not simply for the rats themselves- the funniest, probably even funnier, that Disney's remotely had to market since the Great Mouse Detective- but the human characters too, who have their own distinct shapes and qualities based on personality and relevance to the story (whether they're good or bad, or maybe even more complex too). He places the designs for the characters right up there with the rest of the atmosphere, and then also adds in just the right way to make that wonderfully formulaic Pixar storyline- you know a lot of what may unfold, though not everything, and you know that you're in excellent hands because of the levels of detail and nuance in the comedy chaos at times. It'll be hard to beat this (to put it in a corny phrase) 'gourmet selection' as the best animated film of the year, and certainly the best that Pixar's done since, um, the last Brad Bird movie! The story is the fish out of water, or in this case rat, where a little rodent named Remy, who is totally immersed in the style of Augustus Gusteau, a famous French chef who dies, and who's position is filled by a lowly garbageman named Linguini. He can't cook, of course, but somehow Remy, separated from his rat family, cooks something up on the spot as a not-quite accident, sending Linguini as the one who supposedly made it. On the fluke, he becomes the new chef at Gusteau's...only, the chef's a rat, literally, hilariously pulling Linguini's hair to make him a cooking puppet (early on this makes for some of the best physical comedy of any Pixar movie). This fluke becomes the start of the usual ball of string unraveled bit by bit, involving an heir to Gusteau's fortune, a love interest in aggressive chef Colette, and Remy's reconnection and estrangement from his huge rat clan and his father. All the while Bird throws in such dangerous and downright devilish comedy for a *G* rated animated movie. And there's morales to be learned too, or sort of taken away, I guess, only this time in the true Disney form instead of Pinocchio and Jiminy Cricket, it's Remy and the, well, illusion of Gusteau's ghost appearing to him as a quasi-conscious.What makes Ratatouille stand out of the pack from the fellow summer far of the moment, particularly 4th of July fare, is how there's such deft to Bird and his team navigating along the lines of making the comedy work to its excessive lengths while always keeping a firm grip on which turn the story will take next (the moments I didn't quite expect- the whole heir angle involving Linguini, and the climactic scenes with the rats preparing the restaurant's dinners, all washed before going to work, and keeping 'under wraps' the health inspector at the same time!). I probably laughed just as much during this film as I would at something much raunchier like Knocked Up or Grindhouse, to give recent examples, but as mentioned there's a riskiness to Bird's style here.One scene I particularly loved is when Remy is training linguini to command the muscle-controlled hair pulling scheme at his home, and there's a build-up to what seems like a knife going to cut into his fingers while he's chopping vegetables (up to this point he's been hopeless in his training), but at this very point where we should expect the worst, which is funny unto itself, it starts to level out and he's sort of under control. Sort of in that he'll still be naturally clumsy enough to spill the wine on his own head. Same goes for little things like the quite silhouetted bit Remy passes by with the lover about to shoot the other and then falling into full embrace, or the actual fellow employees at Gusteau's, one of who has the wildest thumb ever shown in a movie, least of all a 'family' movie, that I can remember (albeit Bird does come out of working on the Simpsons).So many masterstrokes of comedy go on that it's almost neglected to note how exciting a lot of the film is too, the run-around Remy has in the kitchen first time he comes in or the chase through Paris between the crooked head cook Skinner and Remy, and how seamless voice-work and the (now highly expected) advances in Pixar's technical innovations go together. It was a good guessing game who was the voice of Ego (it's O'Toole, but then it could be any given old regal British person), and to pick out that it's Ian Holm or Garofolo voicing some of the other parts, but it's not something that is immediately meant to be stand-out like in other CGI movies where it's being sold mostly on celebrity voice talent. It's almost like a lot of this comes quite naturally to Bird and his team, and yet because it isn't it reverts to becoming all the more remarkable. Ratatouille is simply an exceptionally fun picture, loaded with sight gags and puns and slips of behavior, and never overbearing with any of the usual messages that come pre-packaged for kids in these movies, all the more remarkable as it comes nearer to Pixar reusing previous ones.","
            10/10
            "
"Ratatouille","stalcup","17 June 2007","Remember how everyone was talking about Toy Story when it first came out? The incredible visuals, unique style, vividly imagined world? The next time people were talking that way with such enthusiasm about a computer animated movie was Finding Nemo. I'm excited to say that Ratatouille will be the next one to redefine the visual creativity and technical detail of computer animated movies. Honest to goodness, I was awestruck by the animation, and that never happens to me. It is a visual masterpiece of a movie if ever the term applies.The next thing to talk about is the ""genre"" of the movie. As Pixar enthusiasts will tell you, Brad Bird, the director of Ratatouille, also directed The Incredibles, which has the most inspired and creative action sequences from any of the Pixar movies. Ratatouille, while not so straightforward with its action, has almost as much as The Incredibles did, in unique ways. Most memorable is the shotgun scene near the beginning. (You'll know what I'm talking about when you see it). Other than that, this is the expected comedy-with-heart movie from Pixar that so many have grown to love.The voice acting? Spot on. Every voice is distinctive, and it never feels like a celebrity's voice tacked on to a character (Shrek, I'm looking at you), it feels like the characters themselves speaking. You can't ask for more from voice acting.And finally, the script and the story. The entire irony of the story -- a street rat with a passion for fine food -- is beautiful, and a tight, smart, wonderful script flows from this. The pacing of the story is odd and choppy at places, but this is a very forgivable grievance. The only other minor fault is that a few of the dramatic one-liners feel a bit forced. Other than that, this is the most layered, complex, and satisfying script from Pixar since The Incredibles.Overall, I recommend that everyone see this movie when it hits theaters (I was lucky enough to see a pre-release screening). Though not perfect, it is an animated masterpiece in true Pixar form with breathtaking animation and visual design.10/10","
            10/10
            "
"Ratatouille","ashowen","16 June 2007","This film is fantastic! Pixar has yet another great film to add to their impressive repertoire. Oscar-winning director and screenwriter Brad Bird, who wrote and directed ""The Incredibles"", has produced a film with subtle humor, heart, and very profound truth. The voice actors are so great, and it is especially great to hear Peter O'Toole on the screen. The animation is beautiful and it is all around an excellently made film. Its message is one that holds so much truth for everyone, especially today's youth: it tells people that no, not anyone can do anything, but if you have the talent you don't have to be limited by your surroundings or your upbringing. I think this is refreshing to hear because often, children are lied to when they are told they can do anything, when actually not all of them can. But it offers hope to the ones who may feel limited by their social class. It also exposes the fact that most people try to put up false facades of themselves to hide who they are in order to feel accepted by the social standards we create in our society; it shows characters with this flaw, but ultimately they accept this reality and learn to be true to themselves. This thread, I think, is very common throughout the Pixar films, and they present it very well. ""Ratatouille"" is my new Disney-Pixar favorite! ""Ce film a pleine de joie de vivre!""","
            10/10
            "
"Ratatouille","DICK STEEL","10 August 2007","The Pixar juggernaut continues! I've always been enthralled by the movies that Pixar puts out ever since Toy Story, and through the years, Pixar has built a brand of trust amongst movie goers, with quality storytelling using animation as a tool to tell them, not because it's cool to do things through the medium, but that it adds a certain powerful, believable dimension, with stories rooted to universal themes, yet jazzed up by the structure in which it's told. The Incredibles ranked amongst my favourite so far, but writer-director Brad Bird has topped that with Ratatouille, a story about a rat, and probably the most mature of the Pixar stories to date.One of the rare successful rats in the animated genre is Mickey, but Remy here (voiced by Patton Oswalt) has more character, and with that photo realistic quality to him, will give Mickey a run for his money. It's a class act story about a rat who dreams of being somebody, of wanting to follow that dream in becoming a chef in Paris, and is undeterred by his size, and well, form, even though in any kitchen, the last thing you want is a rat in it. And to realize his dream, he forms a symbiotic friendship with bumbling Linguini (Lou Romano), a garbage boy who just joined the restaurant which Remy's idol, the late renowned chef Gusteau (Brad Garrett), founded.It's a story about the tussle between friendship and family, with the latter providing an added emphasis, and you'll happen to just about find a familiar chord to it. Remember the time when your folks frown upon the friends you keep, and how sometimes, through their good intentions, unwittingly stifle your hopes and desires? Or how family becomes that obstructing stone on the pathway to success, or being taken for granted to provide for greedy, unabashed family and so-called friends? Ratatouille explores these and more, though they're kept veiled and subtle for the narrative to move on, and never provided a dull moment for kids and adults alike.Pixar's animation continues to astound, and provide inspiration to the many 3D animators out there - they have always set new benchmarks for others to follow, and I think they're on top of their game with the excellent animated portrayal of Paris, the kitchen, and of course, the rats, with that touch of photo realistic quality to it all, which does wonders to the food presented. Amongst the food, I like the crusty breads best - you can almost feel the texture, and the rustling sound is just to die for. And the cheese, you can just feel it melt in your mouth. Mmm mmm!The story's adversaries might be familiar - a mean boss Skinner (Ian Holm) and a mightier- than-though food critic Anton Ego (Peter O'Toole), but it's the latter, despite his shorter screen time, that does its best to chill, and it was such an obvious jab with making him English. The comedy's here top notch, not necessarily relying solely on slapstick to bring on the laughs, but possessing many sly moments throughout as you root for little Remy and his escapades, less so for Linguini though, who comes off as that perfect loser in life.Ratatouille is a perfectly delicious offering worthy of that Pixar stamp, and definitely gonna be a crowd pleaser. I'm not sure why the delay in getting it released here, and having to suffer watching poor quality animation along the way. But the wait is well worth it, and I bet everyone will be pleasantly surprised indeed, with all the ingredients coming together for that wonderful presentation, that tastes and looks ju st wonderful. Despite the overkill of trailers, pre-screening warnings to turn off your mobile phones, etc, continue to put your trust in that little rat Remy, and savour what Ratatouille has to offer. No regrets - highly recommended, and another contender for my top movie of the year listing.Ratatouille is preceded by the trailer for the next Pixar movie Wall-E, and a short Pixar featurette titled Lifted, about two aliens and one of their attempts in passing the Alien Abduction course. Stay throughout the animated end credits for a little coda at the end.","
            10/10
            "
