"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"neil-476","8 August 2014","Hercules and chums are mercenaries, pressed into service for Lord Cotys to put down a rebel uprising which looks likely to overthrow the throne.The trailer teases this movie as being a myths and monsters movie: it isn't. It's a fairly routine swords and sandals actioner, and the mythical critters teased in the trailer all come before the opening title, and are either tall tales depicted, or things seen unclearly from a distance. What is left is a rather dark film with a lot of battle action, pitched uneasily at a level which is too graphic for family viewing and not graphic enough for those who like blood and dismemberment.There is a single F word - unnecessary and out of place.Dwayne Johnson does this stuff well - he looks good, has great physical presence and, even when the part is somewhat darker than usual, he remains very likable. The supporting cast are all quite good - it was interesting to see Rufus Sewell playing a goodie for once (kind of like a young Ian McShane even though McShane was also in the film, with all the best moments of humour), and John Hurt gets to play both ends of the spectrum, meek and scenery-chewing.I quite liked this - it is certainly a lot better than this year's previous Hercules offering - but felt that it was a missed opportunity: they promised me monsters and then didn't deliver them!","
            7/10
            "
"sauravjoshi85","18 January 2019","The movie is a period movie and full credit to Dwayne Johnson for playing the role with perfection. This movie might not be as grandeur as Gladiator or as gorgeous as 300 but still this movie possesses a charm in it. The start of movie is little slow but it will not disappoint you. If not perfect then a good period drama.","
            8/10
            "
"boblipton","10 October 2020","Dwayne Johnson plays Hercules as he goes from a mercenary for John Hurt -- the English one -- to someone with a conscience.I expected this to be about as ridiculous as The Legend of Hercules, released the same year. I was pleasantly surprised. Not only is the production and cast first rate, with some fine cinematography by Dante Spinotti, but director Brett Ratner's staging allowed me to play the ""where did they lift that shot from"" game; I identified bits from SAMSON AND DELILAH, SPARTACUS, and CONAN THE BARBARIAN during the denouement alone.It's based on a graphic novel by Steve Moore. Because he got no money from it, Moore asked fr his name to be removed from the credits. He died soon after he made the request, and so wound up not only with the credit, but a dedication. All free to the producers!","
            6/10
            "
"TheLittleSongbird","19 September 2016","Of the two Hercules films released in 2014, this one is the far superior of the two. The other being the awful 'The Legend of Hercules', with Liam McIntyre as its sole saving grace. 'Hercules' was very flawed and was very misleadingly advertised, but it was decent.Dwayne 'The Rock' Johnson is a charismatic and likable Hercules, and much closer to what Hercules should be like than the disaster that was Kellan Lutz in 'The Legend of Hercules'. He is not a ""great"" actor, but there is something appealing about him here, he does look more comfortable than some of his other performances (he has come on a lot since 'Doom' for example) and he has fun with his one-liners.Rufus Sewell in a different role is amusing, and even funnier is a scene-stealing Ian McShane, although his material is basically a big running joke it's a very funny line and remarkably doesn't wear thin or become repetitive. John Hurt very rarely gives a bad performance, many performances of his are magnificent in fact, and while he has been better he is good here. Ingrid Bolso Berdal is a striking and strong presence as Atalanta.Mostly, 'Hercules' looks good, looking more of a cinematic release than the straight-to-DVD-schlocky look of 'The Legend of Hercules'. It's beautifully shot and while one is reminded of '300' the editing is not as stylised or as indulgent. Costumes and sets are much more tasteful and easy on the eye. There is an appealing over-the-top-ness with the odd embracing of the cheese factor without being too ridiculous, and the darker moments do have tension and emotional weight. Love the chemistry between Johnson, Sewell and McShane, and it is definitely the film's strongest asset. What there is of the action is exciting enough, and the music is fitting and pleasant even if not mind-blowing.Brett Ratner's direction is a bit routine however, and the story, while with good moments and at least it is clear what it's trying to be, is generic and over-familiar. The script is not as bad as that of 'The Legend of Hercules', but does feel underwritten and clunky, while of the characters the only really interestingly developed ones are Hercules and Amphiarius. The rest are stock, especially the villains, who are poorly played.Joseph Fiennes in particular is catastrophically bad to the point of unintentional comedy. The special effects are a little weak as well, rather artificial.All in all, nowhere near as bad as expected. Not in terms of advertising, it was actually pretty intriguing but those wanting a proper adaptation of the legend will find themselves short-changed (the only resemblance really is in name only), but more in correlation to how much 'The Legend of Hercules' stunk and there was the worry that 'Hercules' would be as bad or worse. Luckily, while still heavily flawed, it is much better. 6/10 Bethany Cox","
            6/10
            "
"851222","2 November 2014","Grettings from Lithuania.""Hercules"" (2014) is entertaining pop corn flick from start till finish. Turn your brain off and enjoy it. It has cool action, bigger than life Dwayne Johnson as Hercules and good supporting stuff. I was laughing each time regarding running gag about Ian McShane death - funny stuff. This flick is miles better than bad movie that came out also this year ""The Legend of Hercules"", skip this one and watch ""Hercules"" instead - it's not the best summer movie of this year, but it's worth spending 90 min. on evening with some friends and beer.Overall, ""Hercules"" isn't great art, it's not even very memorable popcorn flick, but it does it job well for while it last, it entertains you - not in the most sophisticated way to the least, but it's a fun movie.","
            8/10
            "
"MrGilgamesh","24 February 2020","Someone had the incredibly stupid idea of showing Hercules' infamous tasks within the first five minutes and then tell a somewhat conventional story of antique battles and rebellion. The Rock is a charismatic hero and his team works, too. Without this cast this movie would have fallen to pieces. As it is, the action is decent, the result entertaining enough and thankfully it doesn't take itself too seriously. But still, whoever came up with this simplistic plot should be smacked over the head.","
            7/10
            "
"bowmanblue","3 December 2014","There's nothing worse than a film that's completely clichéd in every way. Or at least I thought so until I watched 'Hercules.' It's absolutely everything you've seen a thousand times before, therefore it's a mystery as to why I enjoyed it as much as I did.From what I hear it's hardly based on fact (and when I say 'fact' I mean the Greek legend of Zeus and Mount Olympus etc). Instead, it's based on a comic book which, in turn, is based on the classic tale of Zeus' half human-half god son, Hercules, and his adventures. Seeing as I've completely forgotten everything I learned about Ancient Greece at school and I've never read the comic books, I can't comment on how well it ties into whatever source material it's based on. However, I can tell you that – if you're in the right frame of mind – it is quite good fun.Dwayne 'The sometimes Rock' Johnson plays our titular character and he plays him with as much charm as you'd expect from our muscle-bound leading man. Many have criticised him as an 'actor,' but then he doesn't need to do an awful lot of soul-searching to find inspiration to smash every baddie he encounters in the face. He does the job. He's cool. He's likable. And he wipes the floor with monster he meets.And Dwayne's not alone in his quest. Unusually, we get to see quite a lot of his mates, namely the band of warriors who follows him wherever he goes, generally picking off anyone who's still alive after Herc has beaten an entire army to a pulp. Yes, his homies are all walking clichés, but they're also fun enough to root for and it's simply nice to see that, despite being 'part immortal' on his father's side, even Herc needs a chum or two to get things done.Do you really need to know what they do? There's a baddie doing bad things. Herc and co have to stop him. Don't bother wasting any more time on plot intricacies than that.The film runs for an hour and a half and, if I'm honest, it actually feels a bit rushed. If they'd added an extra 20-30 minutes of character development, they really could have made something quite epic (as opposed to a fun little B-movie). Perhaps the worst thing about it is the computer-generated effects. And they're worse at the beginning. Seriously, there are some scenes near the start that looked like they were created by a media student for his homework assignment (they do get better. A bit).If you want to know what sort of mind frame I was in when I watched this, I'll tell you. I was home from work with a cold. I didn't feel 100% and was wrapped up under a blanket as I watched Hercules and his posse kicking ass. I didn't want a deep and meaningful, heart-wrenching drama or anything I had to think about. I just wanted a fun little action movie to rest my brain to. And I got one. If you find yourself in a similar state, this is the kind of movie that should nurse you back to full health.","
            6/10
            "
"peterp-450-298716","4 November 2015","""I thought heroes fight for glory. But mercenaries fight for gold.""Remember my review of ""The Legend of Hercules"" ? Probably you noticed that I wasn't really impressed by it. First, there was no sign of the ""Twelve labors"" in this film. And it was a hodgepodge of topics from various films. It looked a bit like ""Gladiator"" mixed with ""Pompeii"" and ""300"". And also, Kellan Lutz didn't have enough charisma to become a mythical figure like Hercules. That's why I was so curious about this version with Dwayne ""The Rock"" Johnson. And although it's not exactly a masterpiece, it still could captivate me. First of all there was a small part dedicated to the labors and also because of some memorable moments.What intrigued me the most was the fact that one questioned Hercules's status as a god in a subtle way. I doubted at some point whether he really was a descendant of Zeus or simply a mortal provided with the necessary muscles and fighting skills. It seemed as if he wasn't immortal : ""Cover up, before your loyal army sees you bleed like a mortal"". It was as if he used that unique status to scare off opponents (""The more they believe Hercules is truly the son of Zeus, the less likely they are to fight"") or to use this infamous reputation as a lure for new clients. The opening scene with Hercules being assisted by his companions to hunt down a band of pirates, gave the impression as if he couldn't single-handedly get the job done.Okay, maybe it was the intention to make ""the mystery Hercules"", invincible son of Zeus, more mysterious. Johnson plays a heck of a Hercules. That's an indisputable certainty. His impressive torso and superhuman biceps filled with swollen veins make him a fearsome and imposing demigod. ""Conan"" will always be associated with Schwarzenegger. Believe me, ""Hercules"" will be the same for Johnson. An ideal role written especially for him. It's just pure joy to see this semi-barbarian screaming out loud while rushing towards his opponents, frantically waving with a huge mace. With crushed and split skulls as a result. The level of adrenaline is skyrocketing during the great battles.Of course you could say that they've borrowed from other classics. It's just like ""The magnificent seven"". A group of professional mercenaries taking upon themselves the arduous task of training a group of non-military citizens in martial art. Obviously, this army of simpletons grows out to be the most ruthless killing machine ever. In recent years we've been spoiled with epic battles as seen in ""300"" and ""The Lord of the Rings"". Unfortunately, the battles here aren't as overwhelming as the latter. And you can also feel a bit of the atmosphere from the movie ""Gladiator"" in this mythical spectacle.But unlike ""The legend of Hercules"" you can see some old timers at work here. Like John Hurt who plays the part of Lord Cotys, king of Thrace. He wants Hercules and his henchmen to defeat a violent warlord. And Ian McShane and Rufus Sewell play respectively Amphiaraus and Autolycus, two companions of Hercules. Each of them are veterans who bring some drama into the story. And there's also some humor to enjoy. The funny dialogs between the group members you definitely can call successful. Fortunately they didn't end up with a type of Bud Spencer parody full of silly jokes. The final result is a perfect balance between light-hearted humor and spectacular action. So if you're a fan of straightforward action with a humorous wink, you'll like this Hercules !More reviews here : http://bit.ly/1KIdQMT","
            8/10
            "
"oldgirl","18 January 2015","For those wanting a 'genuine' mythology Hercules; this is not the movie for you. For those wanting a dark and realistic take on Hercules; this is not really the movie for you. For those hoping for popcorn fare, a little gory for a ten year old but just about right for a 13 or 14 year old, for those hoping for solid acting performances, well-choreographed fight scenes, and pretty high production values, then this is your show. And it's got a strong positive message that even those put off by the occasional splash of blood, the fleeting glimpse of bare female bottom, or the single comic use of the 'F' word would agree is something the American public occasionally needs to hear. Is it sort of formulaic? Yeah. So what? There are plenty of formulaic movies that have risen above stereotype into archetype. This isn't one of them, but it was worth the price of admission and the time spent. I'm glad Johnson got this movie done, and glad that I watched it.","
            6/10
            "
"kuuk3","30 July 2014","Firstly, the film has a slow start. We see almost motion comic footage of Hercules doing his 12 labours in slideshow form, with Hercules face hidden in silhouette. So I felt a little cheated. Then we have a scene which tries to set up what makes this version of the main character different than any other version we have seen before. I wont give it away, as its basically what the film is about. But it tries to play with our knowledge of him. It doesn't ignore the back story of his wife and kids, but glosses over those parts until it becomes necessary to divulge that information. Again, i think it would have been better to see it, rather than be told what happened. I knew his history and so was wondering if they would portray this properly. Instead they do something to set-up a villain for the end which I wont give away. Just know that they do tie up all lose ends as needed, but a prior knowledge of who this character is and what he has done does help the viewer understand his motivations and his life up to this point.Its when the big war starts that you really sit up and start paying attention. Somehow watching the Rock talk doesn't interest you, but when the fighting starts with the epic 200 people battle sequences, you suddenly see where the budget went, the fights are fantastic!What is really great is how Hercules and his band of merry men (and woman) use smarts to outwit the enemy rather than simply use strength each time. That was clever. From the moment of that first fight the film moves up a notch and becomes excellent entertainment. Its a historical film and tries to be serious about its overall message. Dwayne does a good job but he's not going to win any awards for this. The other cast members actions are predictable and sufficient. But don't really add much to the plot. They could have been written out and it would have changed nothing. The running length is long enough to feel satisfied and not so long that it overstays its welcome. The plot twists you see coming a mile away but at least it tries to do them. Other than one characters actions near the end which was so obvious it was stupid to include.In conclusion, its worth watching. It takes it times to grab you, but once it does it doesn't let go. There are a few stretches of how strong Hercules is, but not enough for you to hate it. The 3D has its moments, but like most films I would rather have watched it in 2D as I don't think it made a major difference and its more comfortable not having to wear those glasses with my head upright the entire time.","
            8/10
            "
