"Questions","Description","Mean","SD"
"Do you find using Digital payment useful?","Performance Expectance",1,0
"Do you think using Digital payment method will help you manage your money better?","Performance Expectance",1.75,0.92
"Do you believe that Digital payment method will make your financial transaction easier?","Performance Expectance",1.19,0.57
"Do you think Digital payment method will make it easier for you to keep track of your spending?","Perforamce Expectancy",1.33,0.67
"Do your friends or family members encourage you to use digital payment methods?","Social Influence",1.21,0.6
"Are you influenced by the behavior of others when it comes to adopting digital payment technologies?","Social Influence",1.44,0.71
"Do you feel pressure from social circles to use digital payment platforms?","Social Influence",1.79,0.55
"How easy is it for you to access digital payment platforms like GCash, PayMaya, PayPal, etc.?","Facilitating Condition",2.23,0.94
"Have you faced any problems using digital payment platforms?","Facilitating Condition",2.67,1.24
"What features would you like digital payment platforms to have to make them easier to use?","Facilitating Condition",1.89,1.06
"Do you find Digital payment method easy to use and understand?","Effort Expectancy",1.79,0.73
"Do you find digital payment platforms user-friendly and efficient for making transactions?","Effort Expectancy",1.82,0.75
"Do you find the process of digital payment platforms with other financial tools and services beneficial?","Effort Expectancy",1.82,0.73
"Do you find digital payment method convenient to use?","Effort Expectancy",1.74,0.76
